temperatura;year;qt_estacoes_clima
650821.7;2017;42
586045.9;2017;42
603142.9;2017;42
545224.8;2017;42
494375.1;2017;42
397540.1;2017;42
399061.2;2017;42
449825.9;2017;42
536130.9;2017;42
564416.6;2017;42
576823.4;2017;42
712245.5;2017;42
612647.2;2016;42
572474.4;2016;42
528148.2;2016;42
485305.3;2016;42
329956.5;2016;42
222762.2;2016;42
320259.5;2016;42
422999.7;2016;42
411596.7;2016;42
533539.3;2016;42
583157.2;2016;42
691367.1;2016;42
641322.3;2014;38
569170.2;2014;38
561607.7;2014;38
507235.2;2014;38
398766.7;2014;38
299415.5;2014;38
352135.9;2014;38
395934.2;2014;38
428205.6;2014;38
504735.8;2014;38
552689.9;2014;38
611674.2;2014;38
615692.2;2015;38
546857.1;2015;38
582957.2;2015;38
497123.9;2015;38
419415.3;2015;38
347120.4;2015;38
350080.4;2015;38
460104.0;2015;38
381704.5;2015;38
452746.9;2015;38
488959.0;2015;38
571598.6;2015;38
613407.3;2011;35
527572.8;2011;35
531058.0;2011;35
457705.9;2011;35
369506.2;2011;35
296062.6;2011;35
294062.1;2011;35
330028.3;2011;35
388688.0;2011;35
468916.5;2011;35
501986.1;2011;35
544898.1;2011;35
584600.3;2010;35
543636.9;2010;35
549393.9;2010;35
443650.2;2010;35
395301.9;2010;35
339624.2;2010;35
329939.1;2010;35
334126.1;2010;35
388722.0;2010;35
428149.7;2010;35
488379.8;2010;35
580944.0;2010;35
599794.0;2012;37
419209.0;2012;37
465206.4;2012;37
434842.7;2012;37
435694.1;2012;37
334351.3;2012;37
296807.0;2012;37
444009.8;2012;37
406664.6;2012;37
483063.2;2012;37
564054.2;2012;37
634555.1;2012;37
611510.9;2013;38
558658.3;2013;38
523592.2;2013;38
491485.1;2013;38
406032.7;2013;38
348818.6;2013;38
337857.5;2013;38
322025.9;2013;38
401507.9;2013;38
488091.3;2013;38
543612.9;2013;38
629673.6;2013;38
783965.7;2023;45
674631.5;2023;45
763240.5;2023;45
574501.3;2023;45
510098.3;2023;45
426461.3;2023;45
418287.8;2023;45
508046.1;2023;45
544488.0;2023;45
582954.9;2023;45
634942.2;2023;45
724456.7;2023;45
539690.8;2009;34
520495.5;2009;34
556863.3;2009;34
476475.6;2009;34
415226.8;2009;34
271575.3;2009;34
262340.1;2009;34
378465.3;2009;34
354789.9;2009;34
421251.9;2009;34
527203.0;2009;34
562863.4;2009;34
672633.2;2021;44
613872.8;2021;44
659944.6;2021;44
566636.0;2021;44
422912.9;2021;44
369599.1;2021;44
345319.4;2021;44
424554.2;2021;44
447723.8;2021;44
513705.0;2021;44
548320.3;2021;44
641217.9;2021;44
763345.9;2020;44
688465.9;2020;44
750375.1;2020;44
569104.1;2020;44
473638.7;2020;44
443427.6;2020;44
368820.0;2020;44
462725.2;2020;44
464236.4;2020;44
537772.7;2020;44
533040.7;2020;44
600754.2;2020;44
705318.2;2024;44
707510.7;2024;44
713206.1;2024;44
611453.4;2024;44
448441.7;2024;44
486718.0;2024;44
384222.5;2024;44
446194.5;2024;44
529358.4;2024;44
591503.6;2024;44
643655.3;2024;44
626363.9;2024;44
691918.8;2018;43
609763.0;2018;43
670305.7;2018;43
656293.3;2018;43
524693.5;2018;43
363147.2;2018;43
398904.7;2018;43
371593.6;2018;43
520603.0;2018;43
559468.8;2018;43
636872.1;2018;43
702449.9;2018;43
760766.3;2019;44
636136.6;2019;44
637051.1;2019;44
569852.5;2019;44
502283.2;2019;44
501947.4;2019;44
401069.6;2019;44
441600.9;2019;44
485266.8;2019;44
609067.4;2019;44
651050.4;2019;44
750694.7;2019;44
